"","Designated Qualified Opportunity Zones","","",""
"California","San Francisco","06075017902","Low-Income Community","2011-2015"
"California","San Francisco","06075023103","Low-Income Community","2011-2015"
"California","San Francisco","06075023400","Low-Income Community","2011-2015"
"California","San Francisco","06075026001","Low-Income Community","2011-2015"
"California","San Francisco","06075026004","Low-Income Community","2011-2015"
"California","San Francisco","06075026100","Low-Income Community","2011-2015"
"California","San Francisco","06075026301","Low-Income Community","2011-2015"
"California","San Francisco","06075026404","Low-Income Community","2011-2015"
"California","San Francisco","06075060502","Low-Income Community","2011-2015"
"California","San Francisco","06075061200","Low-Income Community","2011-2015"
"California","San Francisco","06075980600","Low-Income Community","2011-2015"
"California","San Joaquin","06077000100","Low-Income Community","2011-2015"
"California","San Joaquin","06077000300","Low-Income Community","2011-2015"
"California","San Joaquin","06077000402","Low-Income Community","2011-2015"
"California","San Joaquin","06077000500","Low-Income Community","2011-2015"
"California","San Joaquin","06077000600","Low-Income Community","2011-2015"
"California","San Joaquin","06077000700","Low-Income Community","2011-2015"
"California","San Joaquin","06077000801","Low-Income Community","2011-2015"
"California","San Joaquin","06077000900","Low-Income Community","2011-2015"
"California","San Joaquin","06077001200","Low-Income Community","2011-2015"
"California","San Joaquin","06077001500","Low-Income Community","2011-2015"
"California","San Joaquin","06077001600","Low-Income Community","2011-2015"
"California","San Joaquin","06077001900","Low-Income Community","2011-2015"
"California","San Joaquin","06077002100","Low-Income Community","2011-2015"
"California","San Joaquin","06077002201","Low-Income Community","2011-2015"
"California","San Joaquin","06077002202","Low-Income Community","2011-2015"
"California","San Joaquin","06077002800","Low-Income Community","2011-2015"
"California","San Joaquin","06077003307","Low-Income Community","2011-2015"
"California","San Joaquin","06077003700","Low-Income Community","2011-2015"
"California","San Joaquin","06077003803","Low-Income Community","2011-2015"
"California","San Joaquin","06077004403","Low-Income Community","2011-2015"
"California","San Luis Obispo","06079010102","Low-Income Community","2011-2015"
"California","San Luis Obispo","06079010902","Low-Income Community","2011-2015"
"California","San Luis Obispo","06079012200","Low-Income Community","2011-2015"
"California","San Mateo","06081600200","Low-Income Community","2011-2015"
"California","San Mateo","06081610201","Low-Income Community","2011-2015"
"California","San Mateo","06081610500","Low-Income Community","2011-2015"
"California","San Mateo","06081612100","Low-Income Community","2011-2015"
"California","Santa Barbara","06083002101","Low-Income Community","2011-2015"
"California","Santa Barbara","06083002403","Low-Income Community","2011-2015"
"California","Santa Barbara","06083002404","Low-Income Community","2011-2015"
"California","Santa Barbara","06083002502","Low-Income Community","2011-2015"
"California","Santa Barbara","06083002702","Low-Income Community","2011-2015"
"California","Santa Barbara","06083002705","Low-Income Community","2011-2015"
"California","Santa Barbara","06083002706","Low-Income Community","2011-2015"
"California","Santa Clara","06085500800","Low-Income Community","2011-2015"
"California","Santa Clara","06085500901","Low-Income Community","2011-2015"
"California","Santa Clara","06085501000","Low-Income Community","2011-2015"
"California","Santa Clara","06085501401","Low-Income Community","2011-2015"
"California","Santa Clara","06085501600","Low-Income Community","2011-2015"
"California","Santa Clara","06085503110","Low-Income Community","2011-2015"
"California","Santa Clara","06085503122","Low-Income Community","2011-2015"
"California","Santa Clara","06085503305","Low-Income Community","2011-2015"
"California","Santa Clara","06085503401","Low-Income Community","2011-2015"
"California","Santa Clara","06085503601","Low-Income Community","2011-2015"
"California","Santa Clara","06085505100","Low-Income Community","2011-2015"
"California","Santa Clara","06085512603","Low-Income Community","2011-2015"
"California","Santa Clara","06085512604","Low-Income Community","2011-2015"
"California","Santa Cruz","06087100800","Low-Income Community","2011-2015"
"California","Santa Cruz","06087101000","Low-Income Community","2011-2015"
"California","Santa Cruz","06087121402","Low-Income Community","2011-2015"
"California","Santa Cruz","06087121600","Low-Income Community","2011-2015"
"California","Shasta","06089010100","Low-Income Community","2011-2015"
"California","Shasta","06089010200","Low-Income Community","2011-2015"
"California","Shasta","06089010704","Low-Income Community","2011-2015"
"California","Shasta","06089011209","Low-Income Community","2011-2015"
"California","Shasta","06089012000","Low-Income Community","2011-2015"
"California","Shasta","06089012500","Low-Income Community","2011-2015"
"California","Sierra","06091010000","Non-LIC Contiguous","2011-2015"
"California","Siskiyou","06093000500","Low-Income Community","2011-2015"
"California","Siskiyou","06093000702","Low-Income Community","2011-2015"
"California","Siskiyou","06093000703","Low-Income Community","2011-2015"
"California","Solano","06095250801","Low-Income Community","2011-2015"
"California","Solano","06095250900","Low-Income Community","2011-2015"
"California","Solano","06095251100","Low-Income Community","2011-2015"
"California","Solano","06095251500","Low-Income Community","2011-2015"
"California","Solano","06095251600","Low-Income Community","2011-2015"
"California","Solano","06095251802","Low-Income Community","2011-2015"
"California","Solano","06095252605","Low-Income Community","2011-2015"
"California","Solano","06095252606","Low-Income Community","2011-2015"
"California","Solano","06095252607","Low-Income Community","2011-2015"
"California","Sonoma","06097150305","Low-Income Community","2011-2015"
"California","Sonoma","06097152000","Low-Income Community","2011-2015"
"California","Sonoma","06097153104","Low-Income Community","2011-2015"
"California","Stanislaus","06099001400","Low-Income Community","2011-2015"
"California","Stanislaus","06099001603","Low-Income Community","2011-2015"
"California","Stanislaus","06099001604","Low-Income Community","2011-2015"
"California","Stanislaus","06099001700","Low-Income Community","2011-2015"
"California","Stanislaus","06099001800","Low-Income Community","2011-2015"
"California","Stanislaus","06099002002","Low-Income Community","2011-2015"
"California","Stanislaus","06099002100","Low-Income Community","2011-2015"
"California","Stanislaus","06099002200","Low-Income Community","2011-2015"
"California","Stanislaus","06099002301","Low-Income Community","2011-2015"
"California","Stanislaus","06099002402","Low-Income Community","2011-2015"
"California","Stanislaus","06099002501","Low-Income Community","2011-2015"
"California","Stanislaus","06099002602","Low-Income Community","2011-2015"
"California","Stanislaus","06099003002","Low-Income Community","2011-2015"
"California","Stanislaus","06099003201","Low-Income Community","2011-2015"
"California","Stanislaus","06099003400","Low-Income Community","2011-2015"
"California","Stanislaus","06099003802","Low-Income Community","2011-2015"
"California","Stanislaus","06099003803","Low-Income Community","2011-2015"
"California","Sutter","06101050102","Low-Income Community","2011-2015"
"California","Sutter","06101050201","Low-Income Community","2011-2015"
"California","Sutter","06101050202","Low-Income Community","2011-2015"
"California","Sutter","06101050302","Low-Income Community","2011-2015"
"California","Tehama","06103001100","Low-Income Community","2011-2015"
"California","Trinity","06105000101","Low-Income Community","2011-2015"
"California","Trinity","06105000300","Low-Income Community","2011-2015"
"California","Tulare","06107000201","Low-Income Community","2011-2015"
"California","Tulare","06107000302","Low-Income Community","2011-2015"
"California","Tulare","06107000502","Low-Income Community","2011-2015"
"California","Tulare","06107000900","Low-Income Community","2011-2015"
"California","Tulare","06107001003","Low-Income Community","2012-2016"
"California","Tulare","06107001100","Low-Income Community","2011-2015"
"California","Tulare","06107001400","Low-Income Community","2011-2015"
"California","Tulare","06107002202","Low-Income Community","2011-2015"
"California","Tulare","06107002800","Low-Income Community","2011-2015"
"California","Tulare","06107002901","Low-Income Community","2011-2015"
"California","Tulare","06107003200","Low-Income Community","2011-2015"
"California","Tulare","06107003400","Low-Income Community","2011-2015"
"California","Tulare","06107003802","Low-Income Community","2011-2015"
"California","Tulare","06107004101","Low-Income Community","2011-2015"
"California","Tulare","06107004102","Low-Income Community","2011-2015"
"California","Tulare","06107004200","Low-Income Community","2011-2015"
"California","Tulare","06107004300","Low-Income Community","2011-2015"
"California","Tuolumne","06109001200","Low-Income Community","2011-2015"
"California","Tuolumne","06109004200","Low-Income Community","2011-2015"
"California","Ventura","06111000304","Low-Income Community","2011-2015"
"California","Ventura","06111000600","Low-Income Community","2011-2015"
"California","Ventura","06111001302","Low-Income Community","2011-2015"
"California","Ventura","06111003201","Low-Income Community","2011-2015"
"California","Ventura","06111004305","Low-Income Community","2011-2015"
"California","Ventura","06111004715","Low-Income Community","2011-2015"
"California","Ventura","06111004902","Low-Income Community","2011-2015"
"California","Ventura","06111009100","Low-Income Community","2011-2015"
"California","Yolo","06113010101","Low-Income Community","2011-2015"
"California","Yolo","06113010201","Low-Income Community","2011-2015"
"California","Yolo","06113010203","Low-Income Community","2011-2015"
"California","Yolo","06113010204","Low-Income Community","2011-2015"
"California","Yolo","06113010602","Low-Income Community","2011-2015"
"California","Yolo","06113010800","Low-Income Community","2011-2015"
"California","Yolo","06113011102","Low-Income Community","2011-2015"
"California","Yuba","06115040301","Low-Income Community","2011-2015"
"California","Yuba","06115040302","Low-Income Community","2011-2015"
"California","Yuba","06115040400","Low-Income Community","2011-2015"
"Colorado","Adams","08001008100","Low-Income Community","2011-2015"
"Colorado","Adams","08001008353","Low-Income Community","2011-2015"
"Colorado","Adams","08001008606","Low-Income Community","2011-2015"
"Colorado","Adams","08001008901","Low-Income Community","2011-2015"
"Colorado","Adams","08001009202","Low-Income Community","2011-2015"
"Colorado","Adams","08001009321","Low-Income Community","2011-2015"
"Colorado","Adams","08001009604","Low-Income Community","2011-2015"
"Colorado","Adams","08001009606","Low-Income Community","2011-2015"
"Colorado","Adams","08001015000","Low-Income Community","2011-2015"
"Colorado","Alamosa","08003960000","Low-Income Community","2011-2015"
"Colorado","Alamosa","08003960200","Low-Income Community","2011-2015"
"Colorado","Alamosa","08003960300","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005005551","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005005552","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005005700","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005005951","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005006000","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005006200","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005007301","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005007302","Low-Income Community","2011-2015"
"Colorado","Arapahoe","08005081100","Low-Income Community","2011-2015"
"Colorado","Archuleta","08007974400","Low-Income Community","2011-2015"
"Colorado","Baca","08009964700","Low-Income Community","2011-2015"
"Colorado","Bent","08011966700","Low-Income Community","2011-2015"
"Colorado","Boulder","08013012203","Low-Income Community","2011-2015"
"Colorado","Boulder","08013013302","Low-Income Community","2011-2015"
"Colorado","Boulder","08013013401","Low-Income Community","2011-2015"
"Colorado","Boulder","08013060800","Low-Income Community","2011-2015"
"Colorado","Chaffee","08015000401","Non-LIC Contiguous","2011-2015"
"Colorado","Chaffee","08015000402","Low-Income Community","2011-2015"
"Colorado","Cheyenne","08017960600","Low-Income Community","2011-2015"
"Colorado","Clear Creek","08019014800","Low-Income Community","2011-2015"
"Colorado","Costilla","08023972600","Low-Income Community","2011-2015"
"Colorado","Crowley","08025969600","Low-Income Community","2011-2015"
"Colorado","Delta","08029964600","Low-Income Community","2011-2015"
"Colorado","Delta","08029964800","Low-Income Community","2012-2016"
"Colorado","Delta","08029965100","Low-Income Community","2011-2015"
"Colorado","Denver","08031000702","Low-Income Community","2011-2015"
"Colorado","Denver","08031000800","Low-Income Community","2011-2015"
"Colorado","Denver","08031003500","Low-Income Community","2011-2015"
"Colorado","Denver","08031003602","Low-Income Community","2011-2015"
"Colorado","Denver","08031004101","Low-Income Community","2011-2015"
"Colorado","Denver","08031004102","Low-Income Community","2011-2015"
"Colorado","Denver","08031004403","Low-Income Community","2011-2015"
"Colorado","Denver","08031004404","Low-Income Community","2011-2015"
"Colorado","Denver","08031004505","Low-Income Community","2011-2015"
"Colorado","Denver","08031008312","Low-Income Community","2011-2015"
"Colorado","Dolores","08033000100","Low-Income Community","2011-2015"
"Colorado","Eagle","08037000503","Low-Income Community","2011-2015"
"Colorado","El Paso","08041000302","Low-Income Community","2011-2015"
"Colorado","El Paso","08041002000","Low-Income Community","2011-2015"
"Colorado","El Paso","08041002200","Low-Income Community","2011-2015"
"Colorado","El Paso","08041002300","Low-Income Community","2011-2015"
"Colorado","El Paso","08041004008","Low-Income Community","2011-2015"
"Colorado","El Paso","08041004501","Low-Income Community","2011-2015"
"Colorado","El Paso","08041005000","Low-Income Community","2011-2015"
"Colorado","El Paso","08041006302","Low-Income Community","2011-2015"
"Colorado","Fremont","08043978200","Low-Income Community","2011-2015"
"Colorado","Fremont","08043978300","Low-Income Community","2011-2015"
"Colorado","Fremont","08043978800","Low-Income Community","2011-2015"
"Colorado","Garfield","08045951600","Low-Income Community","2011-2015"
"Colorado","Garfield","08045951702","Low-Income Community","2012-2016"
"Colorado","Garfield","08045951901","Low-Income Community","2011-2015"
"Colorado","Gunnison","08051963700","Low-Income Community","2011-2015"
"Colorado","Huerfano","08055960600","Low-Income Community","2011-2015"
"Colorado","Jefferson","08059009831","Low-Income Community","2011-2015"
"Colorado","Jefferson","08059010100","Low-Income Community","2011-2015"
"Colorado","Jefferson","08059010402","Low-Income Community","2011-2015"
"Colorado","Jefferson","08059010902","Low-Income Community","2011-2015"
"Colorado","Jefferson","08059011550","Low-Income Community","2011-2015"
"Colorado","Kit Carson","08063962100","Low-Income Community","2011-2015"
"Colorado","Lake","08065961900","Non-LIC Contiguous","2011-2015"
"Colorado","La Plata","08067940400","Non-LIC Contiguous","2011-2015"
"Colorado","La Plata","08067971100","Low-Income Community","2011-2015"
"Colorado","Larimer","08069001305","Low-Income Community","2011-2015"
"Colorado","Larimer","08069001306","Low-Income Community","2011-2015"
"Colorado","Larimer","08069002007","Low-Income Community","2011-2015"
"Colorado","Larimer","08069002802","Low-Income Community","2011-2015"
"Colorado","Las Animas","08071000200","Non-LIC Contiguous","2011-2015"
"Colorado","Las Animas","08071000500","Low-Income Community","2011-2015"
"Colorado","Las Animas","08071000800","Non-LIC Contiguous","2011-2015"
"Colorado","Lincoln","08073961700","Low-Income Community","2011-2015"
"Colorado","Logan","08075966100","Low-Income Community","2011-2015"
"Colorado","Logan","08075966300","Low-Income Community","2012-2016"
"Colorado","Logan","08075966400","Low-Income Community","2011-2015"
"Colorado","Mesa","08077000200","Low-Income Community","2011-2015"
"Colorado","Mesa","08077000400","Low-Income Community","2011-2015"
"Colorado","Mesa","08077000500","Low-Income Community","2011-2015"
"Colorado","Mesa","08077000700","Low-Income Community","2011-2015"
"Colorado","Mesa","08077000800","Low-Income Community","2011-2015"
"Colorado","Mesa","08077000900","Low-Income Community","2011-2015"
"Colorado","Mesa","08077001800","Non-LIC Contiguous","2011-2015"
"Colorado","Moffat","08081000400","Low-Income Community","2011-2015"
"Colorado","Montezuma","08083941100","Low-Income Community","2011-2015"
"Colorado","Montrose","08085966100","Low-Income Community","2011-2015"
"Colorado","Montrose","08085966202","Low-Income Community","2011-2015"
"Colorado","Montrose","08085966300","Low-Income Community","2011-2015"
"Colorado","Montrose","08085966503","Low-Income Community","2011-2015"
"Colorado","Morgan","08087000500","Low-Income Community","2011-2015"
"Colorado","Morgan","08087000700","Low-Income Community","2011-2015"
"Colorado","Otero","08089968300","Low-Income Community","2011-2015"
"Colorado","Otero","08089968600","Low-Income Community","2011-2015"
"Colorado","Phillips","08095967600","Low-Income Community","2011-2015"
"Colorado","Prowers","08099000200","Low-Income Community","2011-2015"
"Colorado","Prowers","08099000300","Low-Income Community","2011-2015"
"Colorado","Prowers","08099000700","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101001400","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101001900","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101002000","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101002300","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101002600","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101002901","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101003103","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101003106","Low-Income Community","2011-2015"
"Colorado","Pueblo","08101003500","Low-Income Community","2011-2015"
"Colorado","Rio Blanco","08103951100","Low-Income Community","2011-2015"
"Colorado","Rio Grande","08105976700","Low-Income Community","2011-2015"
"Colorado","Saguache","08109977700","Low-Income Community","2011-2015"
"Colorado","San Juan","08111972600","Low-Income Community","2011-2015"
"Colorado","San Miguel","08113968200","Non-LIC Contiguous","2011-2015"
"Colorado","Washington","08121924200","Low-Income Community","2011-2015"
"Colorado","Weld","08123000100","Low-Income Community","2011-2015"
"Colorado","Weld","08123001004","Low-Income Community","2011-2015"
"Colorado","Weld","08123001902","Low-Income Community","2011-2015"
"Colorado","Weld","08123002004","Low-Income Community","2011-2015"
"Colorado","Yuma","08125963100","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001020100","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001021400","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001021802","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001022200","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001022300","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001043400","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001043700","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001044100","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001070300","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001070500","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001070600","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001073800","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001074000","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001074300","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001074400","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001080400","Low-Income Community","2011-2015"
"Connecticut","Fairfield","09001210100","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003406100","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003415300","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003415900","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003417100","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003473800","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003496100","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003500300","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003500400","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003502500","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003502700","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003502800","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003503700","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003503800","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003504900","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003510200","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003510400","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003510500","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003510600","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003510800","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003514500","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003514700","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003524400","Low-Income Community","2011-2015"
"Connecticut","Hartford","09003524600","Low-Income Community","2011-2015"
"Connecticut","Litchfield","09005310300","Low-Income Community","2011-2015"
"Connecticut","Middlesex","09007541100","Low-Income Community","2011-2015"
"Connecticut","Middlesex","09007541600","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009125200","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009140200","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009140300","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009141500","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009141600","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009142200","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009142300","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009142400","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009154100","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009154500","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009165500","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009170100","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009170200","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009170900","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009345100","Non-LIC Contiguous","2011-2015"
"Connecticut","New Haven","09009350100","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009350500","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009351500","Low-Income Community","2011-2015"
"Connecticut","New Haven","09009351700","Low-Income Community","2011-2015"
"Connecticut","New London","09011690500","Low-Income Community","2011-2015"
"Connecticut","New London","09011690700","Low-Income Community","2011-2015"
"Connecticut","New London","09011696700","Low-Income Community","2011-2015"
"Connecticut","New London","09011696800","Low-Income Community","2011-2015"
"Connecticut","New London","09011697000","Low-Income Community","2011-2015"
"Connecticut","New London","09011870200","Low-Income Community","2011-2015"
"Connecticut","New London","09011870300","Low-Income Community","2011-2015"
"Connecticut","Tolland","09013881300","Low-Income Community","2011-2015"
"Connecticut","Windham","09015800600","Low-Income Community","2011-2015"
"Connecticut","Windham","09015903100","Low-Income Community","2011-2015"
"Delaware","Kent","10001040201","Low-Income Community","2011-2015"
"Delaware","Kent","10001041300","Low-Income Community","2011-2015"
"Delaware","Kent","10001041400","Low-Income Community","2011-2015"
"Delaware","Kent","10001042500","Low-Income Community","2011-2015"
"Delaware","Kent","10001043300","Low-Income Community","2011-2015"
"Delaware","New Castle","10003000601","Low-Income Community","2011-2015"
"Delaware","New Castle","10003000602","Low-Income Community","2011-2015"
"Delaware","New Castle","10003001902","Low-Income Community","2011-2015"
"Delaware","New Castle","10003002100","Low-Income Community","2011-2015"
"Delaware","New Castle","10003002700","Low-Income Community","2011-2015"
"Delaware","New Castle","10003002800","Low-Income Community","2011-2015"
"Delaware","New Castle","10003002900","Low-Income Community","2011-2015"
"Delaware","New Castle","10003003002","Low-Income Community","2011-2015"
"Delaware","New Castle","10003010101","Low-Income Community","2011-2015"
"Delaware","New Castle","10003010104","Low-Income Community","2011-2015"
"Delaware","New Castle","10003010702","Low-Income Community","2011-2015"
"Delaware","New Castle","10003012900","Low-Income Community","2011-2015"
"Delaware","New Castle","10003014402","Low-Income Community","2011-2015"
"Delaware","New Castle","10003015502","Low-Income Community","2011-2015"
"Delaware","New Castle","10003015802","Low-Income Community","2011-2015"
"Delaware","Sussex","10005050401","Non-LIC Contiguous","2011-2015"
"Delaware","Sussex","10005050405","Low-Income Community","2011-2015"
"Delaware","Sussex","10005050406","Low-Income Community","2011-2015"
"Delaware","Sussex","10005050503","Low-Income Community","2011-2015"
"Delaware","Sussex","10005051802","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001002101","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001003400","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001006400","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001006804","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007304","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007401","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007407","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007503","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007601","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007603","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007604","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007709","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007803","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007804","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007806","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001007808","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001008904","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001009102","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001009204","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001009601","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001009602","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001009603","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001010300","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001010400","Low-Income Community","2011-2015"
"District of Columbia","District of Columbia","11001010900","Low-Income Community","2011-2015"
"Florida","Alachua","12001000200","Low-Income Community","2011-2015"
"Florida","Alachua","12001000302","Low-Income Community","2011-2015"
"Florida","Alachua","12001000400","Low-Income Community","2011-2015"
"Florida","Alachua","12001000500","Low-Income Community","2011-2015"
"Florida","Alachua","12001000600","Low-Income Community","2011-2015"
"Florida","Alachua","12001000700","Low-Income Community","2011-2015"
"Florida","Alachua","12001001400","Low-Income Community","2011-2015"
"Florida","Alachua","12001002000","Low-Income Community","2011-2015"
"Florida","Baker","12003040201","Low-Income Community","2011-2015"
"Florida","Bay","12005001600","Low-Income Community","2011-2015"
"Florida","Bay","12005001800","Low-Income Community","2011-2015"
"Florida","Bay","12005002000","Low-Income Community","2011-2015"
"Florida","Bradford","12007000400","Low-Income Community","2011-2015"
"Florida","Brevard","12009060700","Low-Income Community","2011-2015"
"Florida","Brevard","12009062106","Low-Income Community","2011-2015"
"Florida","Brevard","12009062302","Low-Income Community","2011-2015"
"Florida","Brevard","12009062400","Low-Income Community","2011-2015"
"Florida","Brevard","12009062600","Low-Income Community","2011-2015"
"Florida","Brevard","12009064700","Low-Income Community","2011-2015"
"Florida","Brevard","12009064902","Low-Income Community","2011-2015"
"Florida","Brevard","12009065124","Low-Income Community","2011-2015"
"Florida","Brevard","12009065234","Low-Income Community","2011-2015"
"Florida","Broward","12011010304","Low-Income Community","2011-2015"
"Florida","Broward","12011020412","Low-Income Community","2011-2015"
"Florida","Broward","12011030402","Low-Income Community","2011-2015"
"Florida","Broward","12011030600","Low-Income Community","2011-2015"
"Florida","Broward","12011040801","Low-Income Community","2011-2015"
"Florida","Broward","12011040901","Low-Income Community","2011-2015"
"Florida","Broward","12011041000","Low-Income Community","2011-2015"
"Florida","Broward","12011041100","Low-Income Community","2011-2015"
"Florida","Broward","12011041200","Low-Income Community","2011-2015"
"Florida","Broward","12011041300","Low-Income Community","2011-2015"
"Florida","Broward","12011041400","Low-Income Community","2011-2015"
"Florida","Broward","12011041500","Low-Income Community","2011-2015"
"Florida","Broward","12011041600","Low-Income Community","2011-2015"
"Florida","Broward","12011041700","Low-Income Community","2011-2015"
"Florida","Broward","12011050207","Low-Income Community","2011-2015"
"Florida","Broward","12011050301","Low-Income Community","2011-2015"
"Florida","Broward","12011050308","Low-Income Community","2011-2015"
"Florida","Broward","12011050310","Low-Income Community","2011-2015"
"Florida","Broward","12011050311","Low-Income Community","2011-2015"
"Florida","Broward","12011050312","Low-Income Community","2011-2015"
"Florida","Broward","12011050702","Low-Income Community","2011-2015"
"Florida","Broward","12011060303","Low-Income Community","2011-2015"
"Florida","Broward","12011080500","Low-Income Community","2011-2015"
"Florida","Broward","12011091902","Low-Income Community","2011-2015"
"Florida","Broward","12011100201","Low-Income Community","2011-2015"
"Florida","Broward","12011100300","Low-Income Community","2011-2015"
"Florida","Broward","12011100502","Low-Income Community","2011-2015"
"Florida","Broward","12011100700","Low-Income Community","2011-2015"
"Florida","Broward","12011100801","Low-Income Community","2011-2015"
"Florida","Broward","12011110501","Low-Income Community","2011-2015"
"Florida","Calhoun","12013010300","Low-Income Community","2011-2015"
"Florida","Charlotte","12015010100","Low-Income Community","2011-2015"
"Florida","Charlotte","12015020700","Low-Income Community","2011-2015"
"Florida","Charlotte","12015030401","Low-Income Community","2011-2015"
"Florida","Citrus","12017450202","Low-Income Community","2011-2015"
"Florida","Citrus","12017450800","Low-Income Community","2011-2015"
"Florida","Citrus","12017451502","Low-Income Community","2011-2015"
"Florida","Clay","12019030102","Low-Income Community","2011-2015"
"Florida","Clay","12019030104","Low-Income Community","2011-2015"
"Florida","Collier","12021010411","Low-Income Community","2011-2015"
